id,title,price,image_link,description,availability,condition,link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,style[0]
AMM-2P-52.50,Ammonite wall sculpture,400.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/IMG_4229111.jpg?v=1642264231,"An individually carved and cast modern wall sculpture inspired by ancient Ammonites that once lived in the sea millions of years ago
A two-part sculpture of 52cm x 25cm x 5cm each part in white marble stone finish suitable as contemporary artwork for interior and outdoor wall decor
Total size including gap 52cm x 52cm x 5cm 
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/ammonite,Boldstone,,,1,400.0 GBP,,,,,,,,,,16.0 kg,
GS-1-30,Golden Spiral wall sculpture,200.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/IMG_4384_2_333.jpg?v=1642170615,"The beauty of gold leaf is that it creates a soft glow in evening candlelight
Golden Spiral proportions are 30cm x 30cm x 5cm and would look stunning on a dining room wall or perhaps gently lit at the end of a passageway
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/golden-spiral,Boldstone,,,1,200.0 GBP,,,,,,,,,,6.0 kg,
MFW-2P-55.85,Moon Fishwave wall sculpture,750.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_3000222_3_333.jpg?v=1642175868,"A two-part sculpture which tells the story of fish swimming beneath the waves under the light of the moon  
An individually carved and cast modern wall sculpture is a two-part 42cm x 55cm x 7cm each piece of wall sculpture in white marble stone finish which is suitable as contemporary artwork for interior and outdoor wall decor 
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/moon-fishwave,Boldstone,,,1,750.0 GBP,,,,,,,,,,30.0 kg,
PrSO1-1-A4,Sprouting Onion Green Print,20.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/210218_Sally_Price_02_shopped_v2_1_1.jpg?v=1642270922,"One of a series of 5 beautiful, detailed watercolours of a Sprouting Onion which have been made into high quality matt finish fine art prints of sizes A4, A3, A2 on 100% white cotton 310gsm paper
These would look stunning on a kitchen wall or in a garden room
The prints come with an acid-free backing board leaving you the freedom to choose your own frame
Available in different sizes
Contact us for further information",in stock,new,https://boldstone.co.uk/products/lockdown-onion-1,Boldstone,,,1,20.0 GBP,,,,,,,,,,30.0 g,
PrSO2-1-A4,Sprouting Onion Flower Bud Print,20.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/LockdownOnion2Halfjpeg_1_333.jpg?v=1642270525,"One of a series of 5 beautiful, detailed watercolours of a Sprouting Onion which have been made into high quality matt finish fine art prints of sizes A4, A3, A2 on 100% white cotton 310gsm paper
These would look stunning on a kitchen wall or in a garden room 
The prints come with an acid-free backing board leaving you the freedom to choose your own frame
Available in different sizes
Contact us for further information",in stock,new,https://boldstone.co.uk/products/a-flower-budding-from-sprouting-onion,Boldstone,,,1,20.0 GBP,,,,,,,,,,30.0 g,
PrSO3-1-A4,Sprouting Onion Beauty Print,20.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/LockdownOnion3Halfjpeg_3_333333.jpg?v=1642268721,"One of a series of 5 beautiful, detailed botanical art watercolours of a Sprouting Onion which have been made into high quality matt finish fine art prints of sizes A4, A3, A2 on 100% white cotton 310gsm paper
These would look stunning on a kitchen wall or in a garden room 
The prints come with an acid-free card backing board leaving you the freedom to choose your own frame
Available in different sizes
Contact us for further information",in stock,new,https://boldstone.co.uk/products/sprouting-onion-beauty,Boldstone,,,1,20.0 GBP,,,,,,,,,,30.0 g,
PrSO4-1-A4,Sprouting Onion Roots Print,20.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/LockdownOnion4halfjpeg_2_333.jpg?v=1642271436,"One of a series of 5 beautiful, detailed watercolours of a Sprouting Onion which have been made into high quality matt finish fine art prints of sizes A4, A3, A2 on 100% white cotton 310gsm paper 
These would look stunning on a kitchen wall or in a garden room
The prints come with an acid-free card backing board leaving you the freedom to choose your own frame
Available in different sizes
Contact us for further information",in stock,new,https://boldstone.co.uk/products/sprouting-onion-roots,Boldstone,,,1,20.0 GBP,,,,,,,,,,30.0 g,
PrSO5-1-A4,Sprouting Onion Shell Print,20.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/LockdownOnion5halfjpeg_1_333.jpg?v=1642271948,"One of a series of 5 beautiful, detailed watercolours of a Sprouting Onion which have been made into high quality matt finish fine art prints of sizes A4, A3, A2 on 100% white cotton 310gsm paper
These would look stunning on a kitchen wall or in a garden room
The prints come with an acid-free card backing board leaving you the freedom to choose your own frame
Available in different sizes
Contact us for further information",in stock,new,https://boldstone.co.uk/products/sprouting-onion-shell,Boldstone,,,1,20.0 GBP,,,,,,,,,,30.0 g,
PrPP-1-A4,Pineapple Portrait watercolour Print,20.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/Pineapplehalfjpeg_1_333.jpg?v=1642261380,"Beautiful detailed watercolour of a Pineapple which has been made into high quality matt finish fine art prints of sizes A4, A3, A2 on 100% white cotton 310gsm paper 
This print would look stunning on a kitchen wall, in a living room or a gold leaf frame on a bedroom wall 
The prints come with an acid-free card backing board leaving you the freedom to choose your own frame
Available in different sizes
Contact us for further information",in stock,new,https://boldstone.co.uk/products/pineapple-portrait,Boldstone,,,1,20.0 GBP,,,,,,,,,,30.0 g,
GP-1-30.50,Golden Palm wall sculpture,475.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/GoldenPalmondeepgreen_3_333.jpg?v=1642170146,"Golden Palm has a beautiful peaceful shape
The sculpture is 30cm x 50cm x 5cm with the surface covered in gold leaf
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/golden-palm,Boldstone,,,1,475.0 GBP,,,,,,,,,,11.0 kg,
