Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ammonite,Ammonite wall sculpture,"<p>An <span data-mce-fragment=""1"">individually carved and cast modern wall sculpture inspired by </span>ancient Ammonites that once lived in the sea millions of years ago</p>
<p>A two-part sculpture of 52cm x 25cm x 5cm each part in white marble stone finish suitable as contemporary artwork for interior and outdoor wall decor</p>
<p>Total size including gap 52cm x 52cm x 5cm </p>
<p>Available in different surface effects</p>
<p>Contact us for further information</p>",Boldstone,Home & Garden > Decor > Artwork,wall sculpture,"ammonite, contemporary art, fine art, garden design, hotel art, interior design, modern art, sculpture, wall art, wall sculpture",true,Title,Default Title,,,,,AMM-2P-52.50,16000.0,shopify,3,deny,manual,400.00,,true,true,"",https://cdn.shopify.com/s/files/1/0582/9394/4500/products/IMG_4229111.jpg?v=1642264231,1,Ammonite wall sculpture artwork original spiral interior design hotel art elegant beauty interior design hotel spa entrance garden design luxury fine art patterns in nature original fine art modern form archetype hotel art luxury yacht sitting room bedroom dining room art décor wall art,false,,Individually carved and cast modern wall sculpture inspired by ancient Ammonites that once lived in the sea millions of years ago. A two-part sculpture of 52cm x 25cm x 5cm each part handmade in white marble stone finish suitable as contemporary artwork for interior design and outdoor garden wall decor.,,,,,,,,,,,,,,,kg,,100.00,active
golden-spiral,Golden Spiral wall sculpture,"<p>The beauty of gold leaf is that it creates a soft glow in evening candlelight</p>
<p>Golden Spiral proportions are 30cm x 30cm x 5cm and would look stunning on a dining room wall or perhaps gently lit at the end of a passageway</p>
<p>Available in different surface effects</p>
<p>Contact us for further information</p>",Boldstone,Home & Garden > Decor > Artwork > Sculptures & Statues,sculpture,"",true,Title,Default Title,,,,,GS-1-30,6000.0,shopify,4,deny,manual,200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0582/9394/4500/products/IMG_4384_2_333.jpg?v=1642170615,1,Golden Spiral wall sculpture gold leaf beauty timeless archetype interior design hotel spa wall decor fine art luxury,false,,,,,,,,,,,,,,,,,kg,,50.00,active
moon-fishwave,Moon Fishwave wall sculpture,"<p>A two-part sculpture which tells the story of fish swimming beneath the waves under the light of the moon  </p>
<p><span data-mce-fragment=""1"">An individually carved and cast modern wall sculpture is a two-part 42cm x 55cm x 7cm each piece of wall sculpture in white marble stone finish which is suitable as contemporary artwork for interior and outdoor wall decor </span></p>
<p><span data-mce-fragment=""1"">Available in different surface effects</span></p>
<p><span data-mce-fragment=""1"">Contact us for further information</span></p>",Boldstone ,Home & Garden > Decor > Artwork,,"",true,Title,Default Title,,,,,MFW-2P-55.85,30000.0,shopify,1,deny,manual,750.00,,true,true,"",https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_3000222_3_333.jpg?v=1642175868,1,Moon Fishwave wall sculpture elegant beauty interior design hotel spa entrance garden design luxury fine art hotel art wall art original spiral moon ,false,,,,,,,,,,,,,,,,,kg,,200.00,active
moon-fishwave,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_2313_3_1_333.jpg?v=1642175875,2,Moon Fishwave wall sculpture elegant beauty interior design hotel spa entrance garden design luxury fine art hotel art wall art original spiral moon ,,,,,,,,,,,,,,,,,,,,,
lockdown-onion-1,Sprouting Onion Green Print,"<p>One of a series of 5 beautiful, detailed watercolours of a Sprouting Onion which have been made into high quality matt finish fine art prints of sizes A4, A3, A2 on 100% white cotton 310gsm paper</p>
<p>These would look stunning on a kitchen wall or in a garden room</p>
<p>The prints come with an acid-free backing board leaving you the freedom to choose your own frame</p>
<p>Available in different sizes</p>
<p>Contact us for further information</p>",Boldstone ,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Prints,"botanical art, fine art, hotel art, interior design, kitchen art, natural history drawing, onion, prints, realism, sprouting onion, wall art, watercolour",true,Title,Default Title,,,,,PrSO1-1-A4,30.0,shopify,10,deny,manual,20.00,,true,false,"",https://cdn.shopify.com/s/files/1/0582/9394/4500/products/210218_Sally_Price_02_shopped_v2_1_1.jpg?v=1642270922,1,Botanical Art sprouting onion realism nature illustration watercolour high quality drawing print interior design fine art luxury kitchen art wall art print Natural History illustration elegant natural history study print beauty story illustration realism bathroom bedroom greetings cards kitchen wall art print series observational drawings beautiful dining room hotel art restaurant art bedroom sitting room art Sally Price Artist Boldstone Sculpture Boldstone,false,,,,,,,,,,,,,,,,,g,,5.00,active
lockdown-onion-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_0955_2_333.jpg?v=1642270929,2,Botanical Art sprouting onion realism nature illustration watercolour high quality drawing print interior design fine art luxury kitchen art wall art print Natural History illustration elegant natural history study print beauty story illustration realism bathroom bedroom greetings cards kitchen wall art print series observational drawings beautiful dining room hotel art restaurant art bedroom sitting room art Sally Price Artist Boldstone Sculpture Boldstone,,,,,,,,,,,,,,,,,,,,,
lockdown-onion-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_0956_1_333.jpg?v=1642270936,3,Botanical Art sprouting onion realism nature illustration watercolour high quality drawing print interior design fine art luxury kitchen art wall art print Natural History illustration elegant natural history study print beauty story illustration realism bathroom bedroom greetings cards kitchen wall art print series observational drawings beautiful dining room hotel art restaurant art bedroom sitting room art Sally Price Artist Boldstone Sculpture Boldstone,,,,,,,,,,,,,,,,,,,,,
lockdown-onion-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_0958_2_333.jpg?v=1642270943,4,Botanical Art sprouting onion realism nature illustration watercolour high quality drawing print interior design fine art luxury kitchen art wall art print Natural History illustration elegant natural history study print beauty story illustration realism bathroom bedroom greetings cards kitchen wall art print series observational drawings beautiful dining room hotel art restaurant art bedroom sitting room art Sally Price Artist Boldstone Sculpture Boldstone,,,,,,,,,,,,,,,,,,,,,
a-flower-budding-from-sprouting-onion,Sprouting Onion Flower Bud Print,"<p><span data-mce-fragment=""1"">One of a series of 5 beautiful, detailed watercolours of a Sprouting Onion which have been made into high quality matt finish fine art prints of sizes A4, A3, A2 on 100% white cotton 310gsm paper</span></p>
<p><span data-mce-fragment=""1"">These would look stunning on a kitchen wall or in a garden room </span></p>
<p><span data-mce-fragment=""1"">The prints come with an acid-free backing board leaving you the freedom to choose your own frame</span></p>
<p><span data-mce-fragment=""1"">Available in different sizes</span></p>
<p><span data-mce-fragment=""1"">Contact us for further information</span></p>",Boldstone ,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Prints,"botanical art, fine art, hotel art, interior design, kitchen art, natural history drawing, onion, prints, realism, sprouting onion, wall art, watercolour",true,Title,Default Title,,,,,PrSO2-1-A4,30.0,shopify,10,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0582/9394/4500/products/LockdownOnion2Halfjpeg_1_333.jpg?v=1642270525,1,Botanical Art sprouting onion realism nature illustration watercolour high quality drawing print interior design fine art luxury kitchen art wall art print Natural History illustration elegant natural history study print beauty story illustration realism bathroom bedroom greetings cards kitchen wall art print series observational drawings beautiful dining room hotel art restaurant art bedroom sitting room art Sally Price Artist Boldstone Sculpture Boldstone,false,,,,,,,,,,,,,,,,,g,,5.00,active
a-flower-budding-from-sprouting-onion,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_1039_1_333.jpg?v=1642270532,2,Botanical Art sprouting onion realism nature illustration watercolour high quality drawing print interior design fine art luxury kitchen art wall art print Natural History illustration elegant natural history study print beauty story illustration realism bathroom bedroom greetings cards kitchen wall art print series observational drawings beautiful dining room hotel art restaurant art bedroom sitting room art Sally Price Artist Boldstone Sculpture Boldstone,,,,,,,,,,,,,,,,,,,,,
